# column 1: model
# column 2: total dust mass
t11_p0_q0.5_oa20_R10_Mcl0.97    872.903 Msun
t11_p0_q0.5_oa20_R20_Mcl0.97    3308.02 Msun
t11_p0_q0.5_oa20_R30_Mcl0.97    7316.88 Msun
t11_p0_q0.5_oa30_R10_Mcl0.97    1233.7 Msun
t11_p0_q0.5_oa30_R20_Mcl0.97    4676.36 Msun
t11_p0_q0.5_oa30_R30_Mcl0.97    10342.6 Msun
t11_p0_q0.5_oa40_R10_Mcl0.97    1536.32 Msun
t11_p0_q0.5_oa40_R20_Mcl0.97    5823.97 Msun
t11_p0_q0.5_oa40_R30_Mcl0.97    12881.4 Msun
t11_p0_q0.5_oa50_R10_Mcl0.97    1780.81 Msun
t11_p0_q0.5_oa50_R20_Mcl0.97    6751.69 Msun
t11_p0_q0.5_oa50_R30_Mcl0.97    14932.4 Msun
t11_p0_q0.5_oa60_R10_Mcl0.97    1968.51 Msun
t11_p0_q0.5_oa60_R20_Mcl0.97    7463.31 Msun
t11_p0_q0.5_oa60_R30_Mcl0.97    16507.3 Msun
t11_p0_q0.5_oa70_R10_Mcl0.97    2101.53 Msun
t11_p0_q0.5_oa70_R20_Mcl0.97    7967.83 Msun
t11_p0_q0.5_oa70_R30_Mcl0.97    17622.4 Msun
t11_p0_q0.5_oa80_R10_Mcl0.97    2180.96 Msun
t11_p0_q0.5_oa80_R20_Mcl0.97    8269.5 Msun
t11_p0_q0.5_oa80_R30_Mcl0.97    18290.1 Msun
t11_p0_q0_oa10_R10_Mcl0.97    476.048 Msun
t11_p0_q0_oa10_R20_Mcl0.97    1802.89 Msun
t11_p0_q0_oa10_R30_Mcl0.97    3988.62 Msun
t11_p0_q0_oa20_R10_Mcl0.97    948.807 Msun
t11_p0_q0_oa20_R20_Mcl0.97    3595.59 Msun
t11_p0_q0_oa20_R30_Mcl0.97    7953.01 Msun
t11_p0_q0_oa30_R10_Mcl0.97    1393.13 Msun
t11_p0_q0_oa30_R20_Mcl0.97    5280.58 Msun
t11_p0_q0_oa30_R30_Mcl0.97    11679.1 Msun
t11_p0_q0_oa40_R10_Mcl0.97    1794.97 Msun
t11_p0_q0_oa40_R20_Mcl0.97    6804.29 Msun
t11_p0_q0_oa40_R30_Mcl0.97    15050.1 Msun
t11_p0_q0_oa50_R10_Mcl0.97    2142.23 Msun
t11_p0_q0_oa50_R20_Mcl0.97    8121.43 Msun
t11_p0_q0_oa50_R30_Mcl0.97    17962.5 Msun
t11_p0_q0_oa60_R10_Mcl0.97    2424.32 Msun
t11_p0_q0_oa60_R20_Mcl0.97    9190.97 Msun
t11_p0_q0_oa60_R30_Mcl0.97    20328 Msun
