Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         8 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 3.000E+00 3.000E+00 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 3.000E+00 = <U> 
     mmp83 = radfield
 1.914E-24 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.127E+03  1.386E-27  4.145E-17
1.117E+03  1.440E-27  4.267E-17
1.107E+03  1.496E-27  4.392E-17
1.096E+03  1.555E-27  4.522E-17
1.086E+03  1.615E-27  4.654E-17
1.076E+03  1.678E-27  4.791E-17
1.067E+03  1.743E-27  4.931E-17
1.057E+03  1.811E-27  5.076E-17
1.047E+03  1.881E-27  5.224E-17
1.038E+03  1.954E-27  5.377E-17
1.028E+03  2.029E-27  5.534E-17
1.019E+03  2.108E-27  5.695E-17
1.009E+03  2.189E-27  5.861E-17
1.000E+03  2.274E-27  6.032E-17
9.908E+02  2.362E-27  6.207E-17
9.817E+02  2.453E-27  6.388E-17
9.727E+02  2.548E-27  6.574E-17
9.638E+02  2.646E-27  6.765E-17
9.550E+02  2.748E-27  6.961E-17
9.462E+02  2.854E-27  7.163E-17
9.376E+02  2.964E-27  7.371E-17
9.290E+02  3.078E-27  7.584E-17
9.204E+02  3.196E-27  7.803E-17
9.120E+02  3.319E-27  8.028E-17
9.036E+02  3.446E-27  8.259E-17
8.954E+02  3.578E-27  8.497E-17
8.872E+02  3.714E-27  8.741E-17
8.790E+02  3.856E-27  8.991E-17
8.710E+02  4.003E-27  9.249E-17
8.630E+02  4.156E-27  9.513E-17
8.551E+02  4.314E-27  9.784E-17
8.472E+02  4.478E-27  1.006E-16
8.395E+02  4.647E-27  1.035E-16
8.318E+02  4.823E-27  1.064E-16
8.241E+02  5.006E-27  1.094E-16
8.166E+02  5.195E-27  1.125E-16
8.091E+02  5.391E-27  1.157E-16
8.017E+02  5.594E-27  1.190E-16
7.943E+02  5.805E-27  1.223E-16
7.870E+02  6.023E-27  1.257E-16
7.798E+02  6.249E-27  1.293E-16
7.727E+02  6.483E-27  1.329E-16
7.656E+02  6.726E-27  1.366E-16
7.586E+02  6.977E-27  1.404E-16
7.516E+02  7.238E-27  1.443E-16
7.447E+02  7.509E-27  1.483E-16
7.379E+02  7.789E-27  1.525E-16
7.311E+02  8.080E-27  1.567E-16
7.244E+02  8.382E-27  1.611E-16
7.178E+02  8.695E-27  1.656E-16
7.112E+02  9.019E-27  1.702E-16
7.047E+02  9.356E-27  1.749E-16
6.982E+02  9.704E-27  1.797E-16
6.918E+02  1.007E-26  1.847E-16
6.855E+02  1.044E-26  1.898E-16
6.792E+02  1.083E-26  1.951E-16
6.730E+02  1.123E-26  2.004E-16
6.668E+02  1.164E-26  2.059E-16
6.607E+02  1.207E-26  2.116E-16
6.546E+02  1.252E-26  2.174E-16
6.486E+02  1.299E-26  2.234E-16
6.427E+02  1.347E-26  2.296E-16
6.368E+02  1.397E-26  2.359E-16
6.310E+02  1.449E-26  2.424E-16
6.252E+02  1.502E-26  2.491E-16
6.194E+02  1.558E-26  2.560E-16
6.138E+02  1.616E-26  2.630E-16
6.081E+02  1.675E-26  2.702E-16
6.026E+02  1.737E-26  2.777E-16
5.970E+02  1.801E-26  2.853E-16
5.916E+02  1.868E-26  2.931E-16
5.861E+02  1.937E-26  3.012E-16
5.808E+02  2.008E-26  3.094E-16
5.754E+02  2.083E-26  3.179E-16
5.702E+02  2.159E-26  3.266E-16
5.649E+02  2.239E-26  3.355E-16
5.598E+02  2.321E-26  3.446E-16
5.546E+02  2.407E-26  3.541E-16
5.495E+02  2.495E-26  3.637E-16
5.445E+02  2.587E-26  3.736E-16
5.395E+02  2.682E-26  3.838E-16
5.346E+02  2.780E-26  3.942E-16
5.297E+02  2.882E-26  4.049E-16
5.248E+02  2.988E-26  4.159E-16
5.200E+02  3.097E-26  4.272E-16
5.152E+02  3.210E-26  4.388E-16
5.105E+02  3.328E-26  4.506E-16
5.058E+02  3.449E-26  4.628E-16
5.012E+02  3.575E-26  4.753E-16
4.966E+02  3.705E-26  4.881E-16
4.920E+02  3.840E-26  5.012E-16
4.875E+02  3.980E-26  5.147E-16
4.831E+02  4.125E-26  5.285E-16
4.786E+02  4.274E-26  5.427E-16
4.742E+02  4.429E-26  5.572E-16
4.699E+02  4.589E-26  5.720E-16
4.656E+02  4.755E-26  5.873E-16
4.613E+02  4.927E-26  6.029E-16
4.571E+02  5.105E-26  6.190E-16
4.529E+02  5.289E-26  6.354E-16
4.487E+02  5.479E-26  6.522E-16
4.446E+02  5.676E-26  6.695E-16
4.406E+02  5.880E-26  6.871E-16
4.365E+02  6.091E-26  7.052E-16
4.325E+02  6.309E-26  7.238E-16
4.285E+02  6.534E-26  7.428E-16
4.246E+02  6.767E-26  7.622E-16
4.207E+02  7.008E-26  7.821E-16
4.169E+02  7.258E-26  8.026E-16
4.130E+02  7.515E-26  8.234E-16
4.093E+02  7.782E-26  8.448E-16
4.055E+02  8.058E-26  8.667E-16
4.018E+02  8.343E-26  8.891E-16
3.981E+02  8.637E-26  9.121E-16
3.945E+02  8.942E-26  9.356E-16
3.908E+02  9.257E-26  9.597E-16
3.873E+02  9.583E-26  9.844E-16
3.837E+02  9.920E-26  1.010E-15
3.802E+02  1.027E-25  1.035E-15
3.767E+02  1.063E-25  1.062E-15
3.733E+02  1.100E-25  1.089E-15
3.698E+02  1.138E-25  1.116E-15
3.664E+02  1.178E-25  1.145E-15
3.631E+02  1.218E-25  1.173E-15
3.597E+02  1.260E-25  1.203E-15
3.565E+02  1.304E-25  1.233E-15
3.532E+02  1.349E-25  1.264E-15
3.499E+02  1.395E-25  1.295E-15
3.467E+02  1.443E-25  1.327E-15
3.436E+02  1.492E-25  1.360E-15
3.404E+02  1.543E-25  1.394E-15
3.373E+02  1.596E-25  1.428E-15
3.342E+02  1.650E-25  1.463E-15
3.311E+02  1.706E-25  1.498E-15
3.281E+02  1.763E-25  1.535E-15
3.251E+02  1.823E-25  1.572E-15
3.221E+02  1.884E-25  1.610E-15
3.192E+02  1.947E-25  1.648E-15
3.162E+02  2.012E-25  1.688E-15
3.133E+02  2.078E-25  1.727E-15
3.105E+02  2.147E-25  1.768E-15
3.076E+02  2.218E-25  1.810E-15
3.048E+02  2.291E-25  1.852E-15
