Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
        11 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.500E+01 1.500E+01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.500E+01 = <U> 
     mmp83 = radfield
 8.288E-24 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
2.148E+03  9.073E-29  5.169E-18
2.128E+03  9.432E-29  5.325E-18
2.109E+03  9.806E-29  5.485E-18
2.089E+03  1.020E-28  5.650E-18
2.070E+03  1.060E-28  5.820E-18
2.051E+03  1.102E-28  5.996E-18
2.032E+03  1.146E-28  6.177E-18
2.014E+03  1.191E-28  6.364E-18
1.995E+03  1.239E-28  6.556E-18
1.977E+03  1.288E-28  6.754E-18
1.959E+03  1.339E-28  6.958E-18
1.941E+03  1.392E-28  7.168E-18
1.923E+03  1.448E-28  7.385E-18
1.905E+03  1.505E-28  7.609E-18
1.888E+03  1.565E-28  7.839E-18
1.871E+03  1.628E-28  8.077E-18
1.854E+03  1.693E-28  8.322E-18
1.837E+03  1.760E-28  8.574E-18
1.820E+03  1.830E-28  8.835E-18
1.803E+03  1.903E-28  9.103E-18
1.786E+03  1.979E-28  9.380E-18
1.770E+03  2.058E-28  9.665E-18
1.754E+03  2.141E-28  9.959E-18
1.738E+03  2.226E-28  1.026E-17
1.722E+03  2.315E-28  1.057E-17
1.706E+03  2.408E-28  1.090E-17
1.690E+03  2.504E-28  1.123E-17
1.675E+03  2.604E-28  1.157E-17
1.660E+03  2.708E-28  1.192E-17
1.644E+03  2.817E-28  1.229E-17
1.629E+03  2.930E-28  1.266E-17
1.614E+03  3.047E-28  1.305E-17
1.600E+03  3.169E-28  1.345E-17
1.585E+03  3.296E-28  1.386E-17
1.570E+03  3.428E-28  1.428E-17
1.556E+03  3.565E-28  1.472E-17
1.542E+03  3.708E-28  1.517E-17
1.528E+03  3.857E-28  1.563E-17
1.514E+03  4.012E-28  1.611E-17
1.500E+03  4.172E-28  1.660E-17
1.486E+03  4.340E-28  1.711E-17
1.472E+03  4.514E-28  1.763E-17
1.459E+03  4.695E-28  1.817E-17
1.445E+03  4.884E-28  1.873E-17
1.432E+03  5.080E-28  1.930E-17
1.419E+03  5.284E-28  1.989E-17
1.406E+03  5.496E-28  2.050E-17
1.393E+03  5.717E-28  2.113E-17
1.380E+03  5.947E-28  2.178E-17
1.368E+03  6.186E-28  2.244E-17
1.355E+03  6.435E-28  2.313E-17
1.343E+03  6.693E-28  2.384E-17
1.330E+03  6.962E-28  2.457E-17
1.318E+03  7.242E-28  2.532E-17
1.306E+03  7.533E-28  2.610E-17
1.294E+03  7.836E-28  2.690E-17
1.282E+03  8.151E-28  2.772E-17
1.271E+03  8.478E-28  2.857E-17
1.259E+03  8.819E-28  2.945E-17
1.247E+03  9.173E-28  3.035E-17
1.236E+03  9.541E-28  3.128E-17
1.225E+03  9.925E-28  3.224E-17
1.213E+03  1.032E-27  3.323E-17
1.202E+03  1.074E-27  3.424E-17
1.191E+03  1.117E-27  3.529E-17
1.180E+03  1.162E-27  3.637E-17
1.169E+03  1.208E-27  3.748E-17
1.159E+03  1.257E-27  3.863E-17
1.148E+03  1.307E-27  3.981E-17
1.138E+03  1.360E-27  4.103E-17
1.127E+03  1.414E-27  4.228E-17
1.117E+03  1.471E-27  4.357E-17
1.107E+03  1.530E-27  4.490E-17
1.096E+03  1.591E-27  4.627E-17
1.086E+03  1.655E-27  4.769E-17
1.076E+03  1.721E-27  4.914E-17
1.067E+03  1.790E-27  5.064E-17
1.057E+03  1.861E-27  5.218E-17
